Printer,Texture,Test_Type,Comparison,Raw_Avg_Distance,Std_Deviation
E,6,T,4 vs 3,0.00016779,0.00022586
E,6,T,4 vs 5,0.00022695,0.00032999
E,6,T,5 vs 1,0.00019356,0.00013965
E,6,T,5 vs 2,0.00023430,0.00020043
E,6,T,5 vs 3,0.00020501,0.00029391
E,6,T,5 vs 4,0.00020362,0.00019528
E,5,T,1 vs 2,0.00020887,0.00017159
E,5,T,1 vs 3,0.00026338,0.00017227
E,5,T,1 vs 4,0.00020758,0.00019221
E,5,T,1 vs 5,0.00018581,0.00018811
E,5,T,2 vs 1,0.00028210,0.00023768
E,5,T,2 vs 3,0.00017969,0.00013195
E,5,T,2 vs 4,0.00021326,0.00022906
E,5,T,2 vs 5,0.00015981,0.00012322
E,5,T,3 vs 1,0.00022975,0.00018555
E,5,T,3 vs 2,0.00014748,0.00011178
E,5,T,3 vs 4,0.00022069,0.00020954
E,5,T,3 vs 5,0.00014743,0.00012379
E,5,T,4 vs 1,0.00021195,0.00014557
E,5,T,4 vs 2,0.00021958,0.00013165
E,5,T,4 vs 3,0.00017972,0.00012327
E,5,T,4 vs 5,0.00017466,0.00012752
E,5,T,5 vs 1,0.00030714,0.00026917
E,5,T,5 vs 2,0.00016571,0.00011979
E,5,T,5 vs 3,0.00018121,0.00015266
E,5,T,5 vs 4,0.00023547,0.00028583
R,4,T,1 vs 2,0.00106522,0.00075771
R,4,T,1 vs 3,0.00021791,0.00012621
R,4,T,1 vs 4,0.00016033,0.00008594
R,4,T,1 vs 5,0.00018976,0.00011953
R,4,T,2 vs 1,0.00019603,0.00011250
R,4,T,2 vs 3,0.00017070,0.00009865
R,4,T,2 vs 4,0.00019507,0.00010159
R,4,T,2 vs 5,0.00026315,0.00016565
R,4,T,3 vs 1,0.00020673,0.00011210
R,4,T,3 vs 2,0.00016991,0.00008564
R,4,T,3 vs 4,0.00022917,0.00013583
R,4,T,3 vs 5,0.00021847,0.00011467
R,4,T,4 vs 1,0.00018891,0.00008871
R,4,T,4 vs 2,0.00018761,0.00009090
